Japanese,English (Google Translate),English (Fixed)
愛知環状鉄道,Aichi Loop Railway,Aichi Loop Line Co.
青い森鉄道,Blue Forest Railway,Aoimori Railway
秩父鉄道,Chichibu,Chichibu Railway
叡山電鉄,Railway Eizan,Eizan Electric Railway
北海道ちほく高原鉄道,"Sure plateau railroad almost immediately , Hokkaido",Hokkaido Chihoku Kougen Railway
北神急行電鉄,Northern Railway express God,Hokushin Kyuko Railway
北総鉄道,Total Northern Railway,Hokuso Railway
茨城交通,Ibaraki Transportation,Ibaraki Kotsu Co.
IGRいわて銀河鉄道,IGR Iwate Galaxy,IGR Iwate Galaxy Railway
上信電鉄,Railway communication on,Joshin Electric Railway
四国旅客鉄道,Shikokuryokakutetsudō,JR Shikoku
蒲原鉄道,Kanbaratetsudō,Kanbara Tetsudo Co.
京浜急行電鉄,Keihin Electric Express Railway,Keikyu Corp.
京王電鉄,Keio,Keio Corp.
近畿日本鉄道,Kintetsu,Kintetsu Corp.
北大阪急行電鉄,Northern Osaka Express Railway,Kita-Osaka Kyuko Railway
北近畿タンゴ鉄道,Kita Kinki Tango Railway,Kitakinki Tango Railway
神戸高速鉄道,Kobe high-speed rail,Kobe Rapid Transit Railway
舞浜リゾートライン,Resort Line Maihama,Maihama Resort Line
首都圏新都市鉄道,Shutokenshintoshitetsudō,Metropolitan Intercity Railway
名古屋臨海高速鉄道,Nagoya critical high-speed rail,Nagoya Seaside Rapid Railway
錦川鉄道,Nishikikawatetsudō,Nishikigawa Railway
能勢電鉄,Nose Electric Railway,Nosé Electric Railway
のと鉄道,And the railroad,Noto Railway
岡山電気軌道,Electrical Okayama track,Okayama Electric Tramway
大阪高速鉄道,Osaka High Speed ​​Rail,Osaka Monorail Co.
大阪府都市開発,Osaka Urban Development,Osaka Prefectural Urban Development Co.
総武流山電鉄,Nagareyama Sobu Railway,Ryutetsu
埼玉高速鉄道,Saitama High Speed ​​Railway,Saitama Railway
三岐鉄道,Three branch railway,Sangi Railway
仙台空港鉄道,Sendai Airport Train,Sendai Airport Transit
静岡鉄道,Shizuokatetsudō,Shizuoka Railway
多摩都市モノレール,Tama Monorail,Tama Toshi Monorail
桃花台新交通,New transportation peach garden tub,Tokadai New Transit
東海交通事業,Transportation projects Tokai,Tokai Transport Service Co.
東京地下鉄,Tokyo subway,Tokyo Metro
東葉高速鉄道,High-speed train leaves East,Toyo Rapid Railway
豊橋鉄道,Toyohashitetsudō,Toyohashi Railway
和歌山電鐵,Wakayama Electric Iron,Wakayama Electric Railway
わたらせ渓谷鐵道,We span the valley railway,Watarase Keikoku Railway
野岩鉄道,Train rocks,Yagan Railway
山万,Mountain ten thousand,Yamaman
横浜高速鉄道,YOKOHAMA high-speed rail,Yokohama Minatomirai Railway
横浜新都市交通,New Yokohama city traffic,Yokohama New Transit
九州旅客鉄道,Kyusyu Railway Co.,JR Kyusyu
東海旅客鉄道,,JR Central
北海道旅客鉄道,,JR Hokkaido
西日本旅客鉄道,West Japan Railway,JR West
JR東日本,JR東日本,JR East
東日本旅客鉄道,East Japan Railway,JR East
東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei
福岡市交通局,Fukuoka City Transportation Bureau,Fukuoka Subway
神戸市交通局,Kobe Municipal Transportation Bureau,Kobe Subway
京都市交通局,Kyoto Municipal Transportation Bureau,Kyoto Subway
大阪市交通局,Osaka Municipal Transportation Bureau,Osaka Subway
札幌市交通局,Sapporo City Transportation Bureau,Sapporo Subway
仙台市交通局,Sendai City Transportation Bureau,Sendai Subway
名古屋市交通局,Transportation Bureau City of Nagoya,Nagoya Subway
横浜市交通局,Yokohama City Transportation Bureau,Yokohama Subway
