LineCode,StationCode,CompanyName,LineName,StationName,Note,CompanyName_en,LineName_en,StationName_en
14,fb,"広島電鉄",,"大学病院南門","クレアライン","Hiroshima Electric Railway Co., Ltd.",,"University Hospital of South Gate"
15,55f5,"広島バス",,"紙屋町県庁前","23-1号線","Hiroshima Bus",,"Kencho Station Kamiyacho"
1f,1fe,"中国ＪＲバス",,"呉駅前","クレアライン","JR Bus in China",,"Wu Station"
22,514,"阪急バス",,"夙川短大前",,Hankyu,,"Previous station Shukugawa College"
514,1,"広電バス",,"広島駅",,"Wide power buses",,"Hiroshima Station"
514,2,"広電バス",,"女学院前",,"Wide power buses",,"Previous station Jogakuin"
514,3,"広電バス",,"合同庁舎前",,"Wide power buses",,"Previous station joint government building"
514,4,"広電バス",,"広島バスセンター",,"Wide power buses",,"Hiroshima Bus Center"
514,5,"広電バス",,"八丁堀",,"Wide power buses",,Hatchobori
5d1,0,"広島電鉄",,"共通",,"Hiroshima Electric Railway Co., Ltd.",,Common
5d1,4ea3,"広島電鉄",,"県病院前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station district hospitals"
5d1,4ea5,"広島電鉄",,"袋町",,"Hiroshima Electric Railway Co., Ltd.",,Fukuromachi
5d1,4ea7,"広島電鉄",,"中電前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station Electric Power"
5d1,4ea9,"広島電鉄",,"市役所前",,"Hiroshima Electric Railway Co., Ltd.",,"City Hall"
5d1,4eab,"広島電鉄",,"鷹野橋",,"Hiroshima Electric Railway Co., Ltd.",,Takanobashi
5d1,4ead,"広島電鉄",,"日赤病院前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station Red Cross Hospital"
5d1,4eaf,"広島電鉄",,"広電本社前",,"Hiroshima Electric Railway Co., Ltd.",,"Before large power station headquarters"
5d1,4eb1,"広島電鉄",,"御幸橋",,"Hiroshima Electric Railway Co., Ltd.",,Miyukibashi
5d1,4eb3,"広島電鉄",,"皆実町六丁目",,"Hiroshima Electric Railway Co., Ltd.",,"Minamimachirokuchōme"
5d1,4eb5,"広島電鉄",,"広大附属学校前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station affiliated schools broad"
5d1,4eb7,"広島電鉄",,"県病院前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station district hospitals"
5d1,4eb9,"広島電鉄",,"宇品二丁目",,"Hiroshima Electric Railway Co., Ltd.",,"Ujinanichōme"
5d1,4ebb,"広島電鉄",,"宇品三丁目",,"Hiroshima Electric Railway Co., Ltd.",,"Ujinasanchōme"
5d1,4ebd,"広島電鉄",,"宇品四丁目",,"Hiroshima Electric Railway Co., Ltd.",,"Ujinayonchōme"
5d1,4ebf,"広島電鉄",,"宇品五丁目",,"Hiroshima Electric Railway Co., Ltd.",,"Ujinagochōme"
5d1,4ec1,"広島電鉄",,"海岸通",,"Hiroshima Electric Railway Co., Ltd.",,"Kaigandōri"
5d1,4ec3,"広島電鉄",,"元宇品口",,"Hiroshima Electric Railway Co., Ltd.",,Motoujina-guchi
5d1,4ec5,"広島電鉄",,"広島港",,"Hiroshima Electric Railway Co., Ltd.",,"Hiroshima Port"
5d1,4ef3,"広島電鉄",,"広島駅",,"Hiroshima Electric Railway Co., Ltd.",,"Hiroshima Station"
5d1,4ef5,"広島電鉄",,"猿猴橋町",,"Hiroshima Electric Railway Co., Ltd.",,"Enkōbashichō"
5d1,4ef7,"広島電鉄",,"的場町",,"Hiroshima Electric Railway Co., Ltd.",,"Matobachō"
5d1,4efa,"広島電鉄",,"稲荷町",,"Hiroshima Electric Railway Co., Ltd.",,"Inarichōeki"
5d1,4efc,"広島電鉄",,"銀山町",,"Hiroshima Electric Railway Co., Ltd.",,"Kanayamachō"
5d1,4efe,"広島電鉄",,"胡町",,"Hiroshima Electric Railway Co., Ltd.",,"Ebisuchō"
5d1,4f00,"広島電鉄",,"八丁堀",,"Hiroshima Electric Railway Co., Ltd.",,Hatchobori
5d1,4f02,"広島電鉄",,"立町",,"Hiroshima Electric Railway Co., Ltd.",,Tatemachi
5d1,4f04,"広島電鉄",,"紙屋町東",,"Hiroshima Electric Railway Co., Ltd.",,"Kamiyachōhigashieki"
5d1,4f06,"広島電鉄",,"紙屋町西",,"Hiroshima Electric Railway Co., Ltd.",,"Kamiya Nishi"
5d1,4f08,"広島電鉄",,"原爆ドーム前",,"Hiroshima Electric Railway Co., Ltd.",,"Station A-Bomb Dome"
5d1,4f0a,"広島電鉄",,"本川町",,"Hiroshima Electric Railway Co., Ltd.",,"Honkawachō"
5d1,4f0c,"広島電鉄",,"十日市町",,"Hiroshima Electric Railway Co., Ltd.",,"Tōkaichimachi"
5d1,4f0e,"広島電鉄",,"土橋",,"Hiroshima Electric Railway Co., Ltd.",,Dobashi
5d1,4f10,"広島電鉄",,"小網町",,"Hiroshima Electric Railway Co., Ltd.",,"Koamichō"
5d1,4f12,"広島電鉄",,"天満町",,"Hiroshima Electric Railway Co., Ltd.",,"Tenma-chō"
5d1,4f14,"広島電鉄",,"観音町",,"Hiroshima Electric Railway Co., Ltd.",,"Kan'onmachieki"
5d1,4f16,"広島電鉄",,"西観音町",,"Hiroshima Electric Railway Co., Ltd.",,"Nishikan'nonmachi"
5d1,4f18,"広島電鉄",,"福島町",,"Hiroshima Electric Railway Co., Ltd.",,"Town, Fukushima"
5d1,4f1b,"広島電鉄",,"広電西広島",,"Hiroshima Electric Railway Co., Ltd.",,"Large power station west of Hiroshima"
5d1,4f27,"広島電鉄",,"商工センター入口",,"Hiroshima Electric Railway Co., Ltd.",,"Shōkōsentāiriguchi"
5d1,4f45,"広島電鉄",,"宮島口",,"Hiroshima Electric Railway Co., Ltd.",,Miyajimaguchi
5d1,4fa0,"広島電鉄",,"本川町",,"Hiroshima Electric Railway Co., Ltd.",,"Honkawachō"
5d1,5025,"広島電鉄",,"段原一丁目",,"Hiroshima Electric Railway Co., Ltd.",,"Danbaraichi-chōmeeki"
5d1,5027,"広島電鉄",,"比治山下",,"Hiroshima Electric Railway Co., Ltd.",,Hijiyamashita
5d1,5029,"広島電鉄",,"比治山橋",,"Hiroshima Electric Railway Co., Ltd.",,Hijiyamabashi
5d1,502b,"広島電鉄",,"南区役所前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station south district office"
5d1,502d,"広島電鉄",,"皆実町二丁目",,"Hiroshima Electric Railway Co., Ltd.",,"Minamimachinichōme"
5d1,5071,"広島電鉄",,"女学院前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station Jogakuin"
5d1,5073,"広島電鉄",,"縮景園前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station Shukkeien Garden"
5d1,5075,"広島電鉄",,"家庭裁判所前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station family court"
5d1,5077,"広島電鉄",,"白島","白島線","Hiroshima Electric Railway Co., Ltd.",,Baekdo
5d1,5093,"広島電鉄",,"横川駅",,"Hiroshima Electric Railway Co., Ltd.",,"Yokokawa Station"
5d1,5095,"広島電鉄",,"横川一丁目",,"Hiroshima Electric Railway Co., Ltd.",,"Yokogawaitchōme"
5d1,5097,"広島電鉄",,"別院前",,"Hiroshima Electric Railway Co., Ltd.",,"Previous station Betsuin"
5d1,5099,"広島電鉄",,"寺町",,"Hiroshima Electric Railway Co., Ltd.",,Teramachi
